"C57BL6_0dpi_rep1","C57BL6_0dpi_rep2","C57BL6_1stInf_5dpi_rep1","C57BL6_1stInf_5dpi_rep2","C57BL6_2ndInf_5dpi_rep1","NMRI_1stInf_3dpi_rep1","NMRI_1stInf_3dpi_rep2","NMRI_1stInf_5dpi_rep1","NMRI_1stInf_5dpi_rep2","NMRI_1stInf_5dpi_rep3","NMRI_1stInf_7dpi_rep1","NMRI_1stInf_7dpi_rep2","NMRI_2ndInf_0dpi_rep1","NMRI_2ndInf_0dpi_rep2","NMRI_2ndInf_3dpi_rep2","NMRI_2ndInf_5dpi_rep1","NMRI_2ndInf_7dpi_rep1","NMRI_2ndInf_7dpi_rep2","Rag_0dpi_rep1","Rag_0dpi_rep2","Rag_1stInf_5dpi_rep1","Rag_1stInf_5dpi_rep2","Rag_2ndInf_5dpi_rep1"
"ENSMUSG00000000555",347,671,421,316,362,937,3676,1447,1887,2522,186,1098,1722,415,750,4164,644,613,349,583,494,376,551
"ENSMUSG00000000560",50,36,27,26,58,8,36,8,20,8,2,10,40,40,18,30,51,16,10,36,22,30,24
"ENSMUSG00000000561",1940,4073,4304,544,5592,18900,43004,6959,27749,25123,1048,8415,17045,3796,6707,34911,8249,6142,1995,3150,4620,3548,8667
"ENSMUSG00000000562",6,3,17,3,2,48,188,318,35,265,24,156,20,10,30,204,36,16,0,4,8,6,6
"ENSMUSG00000000563",31512,44254,36338,12976,35372,133603,304701,127058,219540,202325,5668,47740,175903,50650,63338,379482,51911,80557,28457,48678,42691,31942,50105
"ENSMUSG00000000567",979,1455,714,183,1309,2761,5060,838,3066,1837,172,1309,5942,1358,2532,6704,1893,1872,855,1395,911,865,1469
"ENSMUSG00000000568",9505,15272,16293,4028,19663,75455,142900,38183,93323,113640,2827,26083,64605,15079,28078,159967,31199,26555,12855,15406,19321,14121,29843
"ENSMUSG00000000579",482,704,511,191,249,2298,6653,1707,3262,3749,110,715,4150,765,938,7159,669,1019,130,251,202,254,469
"ENSMUSG00000000581",1783,2499,2024,834,1957,8116,14985,5605,12356,12750,411,3328,9728,2482,3348,19155,3360,5096,1751,2861,2564,1920,3449
"ENSMUSG00000000594",302,505,464,254,458,1818,5300,2235,2825,4806,317,2130,2147,948,1724,10024,2550,1526,328,485,541,324,711
"ENSMUSG00000000600",1579,2112,1978,803,1047,9712,19951,7667,14929,17525,486,4636,13781,2862,3344,27573,3233,4570,1108,1872,1733,1458,3007
"ENSMUSG00000000605",2159,3302,2088,728,1537,5945,16343,4983,10378,8623,271,2849,10449,3009,2752,17887,2498,3883,1233,2771,2269,1840,3099
"ENSMUSG00000000606",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000617",0,0,0,4,1,8,28,155,23,54,16,125,6,11,8,66,7,0,0,0,0,1,0
"ENSMUSG00000000627",2,2,77,42,40,56,410,1899,169,893,34,275,34,47,153,1037,165,58,26,117,259,207,163
"ENSMUSG00000000628",4281,5881,38056,17393,17018,47961,243359,128823,88661,165710,4409,28568,34797,15928,21528,128979,14050,16096,12356,29283,42901,30848,33572
