go,gene
GO:0008603,EfaB_MINUS_13222.g1126
GO:0005952,EfaB_MINUS_13222.g1126
GO:0005515,EfaB_MINUS_13222.g1129
GO:0005634,EfaB_MINUS_13222.g1130
GO:0006355,EfaB_MINUS_13222.g1130
GO:0042256,EfaB_MINUS_13222.g1131
GO:0043022,EfaB_MINUS_13222.g1131
GO:0005515,EfaB_MINUS_13222.g1132
GO:0017119,EfaB_MINUS_13222.g1132
GO:0006891,EfaB_MINUS_13222.g1132
GO:0006281,EfaB_MINUS_13222.g1134
GO:0005634,EfaB_MINUS_13222.g1134
GO:0008270,EfaB_MINUS_13222.g1134
GO:0006355,EfaB_MINUS_13222.g1134
GO:0006281,EfaB_MINUS_13222.g1134
GO:0008270,EfaB_MINUS_13222.g1134
GO:0005622,EfaB_MINUS_13222.g1134
GO:0005515,EfaB_MINUS_13222.g1135
GO:0000166,EfaB_MINUS_13222.g1135
GO:0016491,EfaB_MINUS_13222.g1135
